IdLandkreis,IdBundesland,AnzahlFall,AnzahlTodesfall,Datenstand,AnzahlFall_neu,AnzahlFall_7d,AnzahlTodesfall_neu,report_date,meldedatum_max
1001,1,25,0,2020-02-04,0,11,0,2020-04-02,2020-04-01
1002,1,136,1,2020-02-04,12,67,0,2020-04-02,2020-04-01
1003,1,96,1,2020-02-04,2,24,0,2020-04-02,2020-04-01
1004,1,25,0,2020-02-04,0,12,0,2020-04-02,2020-04-01
1051,1,29,1,2020-02-04,2,11,1,2020-04-02,2020-04-01
1053,1,113,1,2020-02-04,3,56,0,2020-04-02,2020-04-01
1054,1,42,0,2020-02-04,1,18,0,2020-04-02,2020-04-01
1055,1,44,0,2020-02-04,4,22,0,2020-04-02,2020-04-01
1056,1,245,2,2020-02-04,18,97,0,2020-04-02,2020-04-01
1057,1,64,2,2020-02-04,6,26,0,2020-04-02,2020-04-01
1058,1,132,2,2020-02-04,4,60,0,2020-04-02,2020-04-01
1059,1,82,0,2020-02-04,6,45,0,2020-04-02,2020-04-01
1060,1,109,0,2020-02-04,18,61,0,2020-04-02,2020-04-01
1061,1,51,0,2020-02-04,8,28,0,2020-04-02,2020-04-01
1062,1,142,1,2020-02-04,5,52,0,2020-04-02,2020-04-01
2000,2,2406,14,2020-02-04,95,729,0,2020-04-02,2020-04-01
3101,3,168,1,2020-02-04,21,89,0,2020-04-02,2020-04-01
3102,3,57,1,2020-02-04,5,24,0,2020-04-02,2020-04-01
3103,3,182,15,2020-02-04,19,135,-3,2020-04-02,2020-04-01
3151,3,75,0,2020-02-04,0,32,0,2020-04-02,2020-04-01
3153,3,59,1,2020-02-04,1,23,0,2020-04-02,2020-04-01
3154,3,70,0,2020-02-04,7,42,0,2020-04-02,2020-04-01
3155,3,36,0,2020-02-04,1,14,0,2020-04-02,2020-04-01
3157,3,89,0,2020-02-04,28,58,0,2020-04-02,2020-04-01
3158,3,42,0,2020-02-04,6,21,0,2020-04-02,2020-04-01
3159,3,181,0,2020-02-04,16,90,0,2020-04-02,2020-04-01
3241,3,867,7,2020-02-04,30,331,2,2020-04-02,2020-04-01
3251,3,154,2,2020-02-04,13,55,1,2020-04-02,2020-04-01
3252,3,71,1,2020-02-04,14,39,0,2020-04-02,2020-04-01
3254,3,155,0,2020-02-04,9,44,0,2020-04-02,2020-04-01
3255,3,62,0,2020-02-04,6,25,0,2020-04-02,2020-04-01
3256,3,35,0,2020-02-04,1,13,0,2020-04-02,2020-04-01
3257,3,54,0,2020-02-04,2,11,0,2020-04-02,2020-04-01
3351,3,93,0,2020-02-04,6,42,0,2020-04-02,2020-04-01
3352,3,56,0,2020-02-04,1,15,0,2020-04-02,2020-04-01
3353,3,159,1,2020-02-04,0,32,0,2020-04-02,2020-04-01
3354,3,8,0,2020-02-04,0,1,0,2020-04-02,2020-04-01
3355,3,105,0,2020-02-04,10,35,0,2020-04-02,2020-04-01
3356,3,49,0,2020-02-04,0,17,0,2020-04-02,2020-04-01
3357,3,55,1,2020-02-04,4,21,0,2020-04-02,2020-04-01
3358,3,28,0,2020-02-04,0,18,0,2020-04-02,2020-04-01
3359,3,123,0,2020-02-04,5,38,0,2020-04-02,2020-04-01
3360,3,25,0,2020-02-04,1,11,0,2020-04-02,2020-04-01
3361,3,79,1,2020-02-04,7,41,1,2020-04-02,2020-04-01
3401,3,23,1,2020-02-04,3,8,0,2020-04-02,2020-04-01
3402,3,8,0,2020-02-04,0,1,0,2020-04-02,2020-04-01
3403,3,88,0,2020-02-04,0,31,0,2020-04-02,2020-04-01
3404,3,242,1,2020-02-04,13,80,0,2020-04-02,2020-04-01
3405,3,7,0,2020-02-04,0,1,0,2020-04-02,2020-04-01
3451,3,87,1,2020-02-04,7,41,0,2020-04-02,2020-04-01
3452,3,52,2,2020-02-04,0,20,0,2020-04-02,2020-04-01
3453,3,35,0,2020-02-04,0,10,0,2020-04-02,2020-04-01
3454,3,152,3,2020-02-04,11,53,1,2020-04-02,2020-04-01
3455,3,15,0,2020-02-04,3,6,0,2020-04-02,2020-04-01
3456,3,98,1,2020-02-04,10,51,0,2020-04-02,2020-04-01
3457,3,44,1,2020-02-04,3,22,0,2020-04-02,2020-04-01
3458,3,114,1,2020-02-04,7,70,0,2020-04-02,2020-04-01
3459,3,344,1,2020-02-04,24,141,0,2020-04-02,2020-04-01
3460,3,192,2,2020-02-04,17,100,1,2020-04-02,2020-04-01
3461,3,42,0,2020-02-04,3,18,0,2020-04-02,2020-04-01
3462,3,15,0,2020-02-04,-1,8,0,2020-04-02,2020-04-01
4011,4,304,6,2020-02-04,16,113,1,2020-04-02,2020-04-01
4012,4,23,0,2020-02-04,0,6,0,2020-04-02,2020-04-01
5111,5,456,4,2020-02-04,40,163,0,2020-04-02,2020-04-01
5112,5,308,2,2020-02-04,16,118,0,2020-04-02,2020-04-01
5113,5,370,6,2020-02-04,13,90,0,2020-04-02,2020-04-01
5114,5,199,0,2020-02-04,9,85,0,2020-04-02,2020-04-01
5116,5,205,1,2020-02-04,28,82,0,2020-04-02,2020-04-01
5117,5,80,2,2020-02-04,5,29,2,2020-04-02,2020-04-01
5119,5,65,0,2020-02-04,0,21,0,2020-04-02,2020-04-01
5120,5,67,1,2020-02-04,8,28,0,2020-04-02,2020-04-01
5122,5,107,1,2020-02-04,7,43,0,2020-04-02,2020-04-01
5124,5,243,3,2020-02-04,43,105,0,2020-04-02,2020-04-01
5154,5,302,2,2020-02-04,21,155,0,2020-04-02,2020-04-01
5158,5,373,5,2020-02-04,24,136,0,2020-04-02,2020-04-01
5162,5,365,6,2020-02-04,19,138,0,2020-04-02,2020-04-01
5166,5,156,0,2020-02-04,12,51,0,2020-04-02,2020-04-01
5170,5,228,2,2020-02-04,0,51,0,2020-04-02,2020-04-01
5314,5,296,1,2020-02-04,13,79,0,2020-04-02,2020-04-01
5315,5,1417,15,2020-02-04,171,397,6,2020-04-02,2020-04-01
5316,5,115,0,2020-02-04,15,51,0,2020-04-02,2020-04-01
5334,5,897,16,2020-02-04,61,279,2,2020-04-02,2020-04-01
5358,5,255,4,2020-02-04,15,83,2,2020-04-02,2020-04-01
5362,5,315,1,2020-02-04,26,136,0,2020-04-02,2020-04-01
5366,5,133,2,2020-02-04,7,66,0,2020-04-02,2020-04-01
5370,5,1303,37,2020-02-04,39,216,2,2020-04-02,2020-04-01
5374,5,258,2,2020-02-04,28,123,0,2020-04-02,2020-04-01
5378,5,220,3,2020-02-04,20,80,1,2020-04-02,2020-04-01
5382,5,567,2,2020-02-04,33,221,0,2020-04-02,2020-04-01
5512,5,27,0,2020-02-04,3,11,0,2020-04-02,2020-04-01
5513,5,99,1,2020-02-04,0,44,0,2020-04-02,2020-04-01
5515,5,478,2,2020-02-04,18,142,0,2020-04-02,2020-04-01
5554,5,511,7,2020-02-04,52,168,3,2020-04-02,2020-04-01
5558,5,312,6,2020-02-04,5,135,2,2020-04-02,2020-04-01
5562,5,319,0,2020-02-04,14,172,0,2020-04-02,2020-04-01
5566,5,411,2,2020-02-04,25,166,1,2020-04-02,2020-04-01
5570,5,315,2,2020-02-04,19,71,1,2020-04-02,2020-04-01
5711,5,169,0,2020-02-04,0,47,0,2020-04-02,2020-04-01
5754,5,314,1,2020-02-04,3,80,0,2020-04-02,2020-04-01
5758,5,149,0,2020-02-04,0,30,0,2020-04-02,2020-04-01
5762,5,71,0,2020-02-04,1,38,0,2020-04-02,2020-04-01
5766,5,313,2,2020-02-04,11,116,0,2020-04-02,2020-04-01
5770,5,323,0,2020-02-04,46,110,0,2020-04-02,2020-04-01
5774,5,213,3,2020-02-04,26,103,2,2020-04-02,2020-04-01
5911,5,212,4,2020-02-04,11,56,0,2020-04-02,2020-04-01
5913,5,301,0,2020-02-04,51,98,0,2020-04-02,2020-04-01
5914,5,82,2,2020-02-04,2,27,0,2020-04-02,2020-04-01
5915,5,170,2,2020-02-04,14,59,0,2020-04-02,2020-04-01
5916,5,57,0,2020-02-04,3,24,0,2020-04-02,2020-04-01
5954,5,210,1,2020-02-04,18,108,0,2020-04-02,2020-04-01
5958,5,285,1,2020-02-04,33,112,1,2020-04-02,2020-04-01
5962,5,149,1,2020-02-04,19,80,1,2020-04-02,2020-04-01
5966,5,137,1,2020-02-04,3,101,0,2020-04-02,2020-04-01
5970,5,108,1,2020-02-04,8,36,0,2020-04-02,2020-04-01
5974,5,223,1,2020-02-04,18,99,1,2020-04-02,2020-04-01
5978,5,169,3,2020-02-04,0,45,0,2020-04-02,2020-04-01
6411,6,72,0,2020-02-04,0,34,0,2020-04-02,2020-04-01
6412,6,438,4,2020-02-04,0,198,0,2020-04-02,2020-04-01
6413,6,26,1,2020-02-04,0,9,0,2020-04-02,2020-04-01
6414,6,183,2,2020-02-04,4,72,0,2020-04-02,2020-04-01
6431,6,186,1,2020-02-04,10,86,0,2020-04-02,2020-04-01
6432,6,194,2,2020-02-04,1,84,0,2020-04-02,2020-04-01
6433,6,215,1,2020-02-04,20,93,1,2020-04-02,2020-04-01
6434,6,163,1,2020-02-04,8,53,1,2020-04-02,2020-04-01
6435,6,206,1,2020-02-04,29,84,0,2020-04-02,2020-04-01
6436,6,139,2,2020-02-04,7,51,0,2020-04-02,2020-04-01
6437,6,93,2,2020-02-04,24,60,1,2020-04-02,2020-04-01
6438,6,193,3,2020-02-04,17,72,0,2020-04-02,2020-04-01
6439,6,129,0,2020-02-04,12,53,0,2020-04-02,2020-04-01
6440,6,124,1,2020-02-04,9,56,0,2020-04-02,2020-04-01
6531,6,134,0,2020-02-04,0,39,0,2020-04-02,2020-04-01
6532,6,168,0,2020-02-04,15,58,0,2020-04-02,2020-04-01
6533,6,170,0,2020-02-04,9,55,0,2020-04-02,2020-04-01
6534,6,118,1,2020-02-04,10,35,0,2020-04-02,2020-04-01
6535,6,61,0,2020-02-04,8,23,0,2020-04-02,2020-04-01
6611,6,92,0,2020-02-04,8,32,0,2020-04-02,2020-04-01
6631,6,186,1,2020-02-04,32,74,0,2020-04-02,2020-04-01
6632,6,56,2,2020-02-04,9,28,2,2020-04-02,2020-04-01
6633,6,98,1,2020-02-04,12,38,1,2020-04-02,2020-04-01
6634,6,168,1,2020-02-04,10,75,0,2020-04-02,2020-04-01
6635,6,73,0,2020-02-04,7,31,0,2020-04-02,2020-04-01
6636,6,22,0,2020-02-04,1,10,0,2020-04-02,2020-04-01
