Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
Baden-Württemberg,37840,5621,3,18907,11336,2023,6476
Bayern,82749,4873,6,18957,40959,1573,28182
Berlin,21955,2566,6,13487,7648,105,14247
Brandenburg,5404,2070,2,287,5097,20,224
Bremen,3195,518,5,982,1062,29,892
Hamburg,5901,1145,3,1996,3495,44,2122
Hessen,41298,3503,7,11393,23963,1657,15925
Mecklenburg-Vorpommern,18014,2570,11,456,10024,27,7828
Niedersachsen,15164,6499,2,3341,7376,3112,8940
Nordrhein-Westfalen,69225,4160,4,0,28846,0,40387
Rheinland-Pfalz,12336,2445,3,0,7191,0,5145
Saarland,5633,797,6,4279,672,0,2156
Sachsen,10767,3027,3,820,8945,1,1821
Sachsen-Anhalt,17123,1495,8,5402,8196,738,8588
Schleswig-Holstein,17016,3444,6,4092,8459,2932,6665
Thüringen,3711,500,2,468,2856,7,500
Gesamt,367331,45233,4,84867,176125,12268,150098
