RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
8,Baden-Württemberg,49103,6180,4,25827,14560,2433,8088
9,Bayern,88916,4567,7,20212,44516,1609,30110
11,Berlin,26406,2247,7,16673,9109,105,16773
12,Brandenburg,11481,3299,5,1029,10391,53,558
4,Bremen,4505,621,7,1033,1764,34,1491
2,Hamburg,8471,1392,5,2788,4313,108,2352
6,Hessen,46006,1884,7,12286,27009,2101,17520
13,Mecklenburg-Vorpommern,24060,1792,15,1260,12515,137,11130
3,Niedersachsen,32170,7975,4,7075,15989,6226,18332
5,Nordrhein-Westfalen,90802,5986,5,0,39465,0,51345
7,Rheinland-Pfalz,20792,4991,5,2154,11833,0,6805
10,Saarland,7358,837,7,5596,966,0,2663
14,Sachsen,15593,2587,4,985,13343,1,2249
15,Sachsen-Anhalt,19399,1775,9,6008,9554,783,9500
1,Schleswig-Holstein,23903,3831,8,5606,10747,3655,9099
16,Thüringen,7994,974,4,782,6399,22,731
0,Gesamt,476959,50938,6,109314,232473,17267,188746
